"# GtoPdb Version: 2024.2 - published: 2024-06-26"
"Ligand ID","Ligand Name","Ligand Type","Ligand Species","Ligand UniProt ID","Ligand Ensembl Gene ID","Ligand Subunit ID","Ligand Subunit Name","Ligand Subunit UniProt ID","Ligand Subunit Ensembl ID","Target ID","Target Name","Target Species","Target UniProt ID","Target Ensembl Gene ID","Target Subunit ID","Target Subunit Name","Target Subunit UniProt ID","Target Subunit Ensembl ID","Rank Potency","Rank Potency Refs (PMIDs)","List Comment","Interaction Species","Interaction Parameter","Interaction Value","Interaction PubMed IDs"
"1067","GABA","Metabolite","","","","","","","","242","GABA<sub>B</sub> receptor","Rat","","","1917|1918|1919|1920|240|241","KCTD8|KCTD12|kctd12b|KCTD16|GABA<sub>B1</sub>|GABA<sub>B2</sub>","1917:no_UniProt_ID|1918:no_UniProt_ID|1919:no_UniProt_ID|1920:no_UniProt_ID|240:Q9Z0U4|241:O88871","1917:ENSRNOG00000063710|1918:ENSRNOG00000066973|1919:no_ENS_ID|1920:ENSRNOG00000069221|240:ENSRNOG00000000774|241:ENSRNOG00000008431","","","Functional GABA receptors contain both GABA<sub>B1</sub> and GABA<sub>B2</sub> subunits","Rat","pIC50","8.3","0"
"3592","galanin","Peptide","Human","P22466","ENSG00000069482","","","","","243","GAL<sub>1</sub> receptor","Human","P47211","ENSG00000166573","","","","","galanin > galanin-like peptide","10601261|","Galanin is more potent than galanin-like peptide","Human","pKi","9.1 - 10.5","9808667|9880084|7524088|11600206"
"3592","galanin","Peptide","Human","P22466","ENSG00000069482","","","","","243","GAL<sub>1</sub> receptor","Human","P47211","ENSG00000166573","","","","","galanin > galanin-like peptide","10601261|","Galanin is more potent than galanin-like peptide","Human","pIC50","9.6 - 9.9","11481429|9168941|9685625"
"3593","galanin","Peptide","Mouse","P47212","ENSMUSG00000024907","","","","","243","GAL<sub>1</sub> receptor","Mouse","P56479","ENSMUSG00000024553","","","","","galanin > galanin-like peptide","10601261|","Galanin is more potent than galanin-like peptide","Mouse","pKi","9.3 - 10.3","9271210|9832122"
"3593","galanin","Peptide","Rat","P10683","ENSRNOG00000015156","","","","","243","GAL<sub>1</sub> receptor","Rat","Q62805","ENSRNOG00000016654","","","","","galanin > galanin-like peptide","10601261|","Galanin is more potent than galanin-like peptide","Rat","pKi","9.0 - 10.1","9722565|9281594|8562318|9405385|9742938"
"3593","galanin","Peptide","Rat","P10683","ENSRNOG00000015156","","","","","243","GAL<sub>1</sub> receptor","Rat","Q62805","ENSRNOG00000016654","","","","","galanin > galanin-like peptide","10601261|","Galanin is more potent than galanin-like peptide","Rat","pIC50","8.9 - 10.0","10601261|20880399"
"3593","galanin","Peptide","Rat","P10683","ENSRNOG00000015156","","","","","243","GAL<sub>1</sub> receptor","Rat","Q62805","ENSRNOG00000016654","","","","","galanin > galanin-like peptide","10601261|","Galanin is more potent than galanin-like peptide","Rat","pEC50","9.8","10601261"
"3594","galanin-like peptide","Peptide","Human","Q9UBC7","ENSG00000197487","","","","","243","GAL<sub>1</sub> receptor","Human","P47211","ENSG00000166573","","","","","galanin > galanin-like peptide","10601261|","Galanin is more potent than galanin-like peptide","Human","pIC50","7.1","15944009"
"3595","galanin-like peptide","Peptide","Mouse","Q810H5","ENSMUSG00000034660","","","","","243","GAL<sub>1</sub> receptor","Mouse","P56479","ENSMUSG00000024553","","","","","galanin > galanin-like peptide","10601261|","Galanin is more potent than galanin-like peptide",,,"-",""
"3596","galanin-like peptide","Peptide","Rat","Q9QXQ6","ENSRNOG00000022129","","","","","243","GAL<sub>1</sub> receptor","Rat","Q62805","ENSRNOG00000016654","","","","","galanin > galanin-like peptide","10601261|","Galanin is more potent than galanin-like peptide","Rat","pIC50","7.3","20880399"
"3592","galanin","Peptide","Human","P22466","ENSG00000069482","","","","","244","GAL<sub>2</sub> receptor","Human","O43603","ENSG00000182687","","","","","galanin-like peptide &ge; galanin","10601261|","","Human","pKi","8.6 - 9.1","9880084|11600206|9480833"
"3592","galanin","Peptide","Human","P22466","ENSG00000069482","","","","","244","GAL<sub>2</sub> receptor","Human","O43603","ENSG00000182687","","","","","galanin-like peptide &ge; galanin","10601261|","","Human","pEC50","7.9 - 9.1","9880084|9685625"
"3592","galanin","Peptide","Human","P22466","ENSG00000069482","","","","","244","GAL<sub>2</sub> receptor","Human","O43603","ENSG00000182687","","","","","galanin-like peptide &ge; galanin","10601261|","","Human","pIC50","9.3","9685625"
"3593","galanin","Peptide","Mouse","P47212","ENSMUSG00000024907","","","","","244","GAL<sub>2</sub> receptor","Mouse","O88854","ENSMUSG00000020793","","","","","galanin-like peptide &ge; galanin","10601261|","","Mouse","pKi","8.4","9832122"
"3593","galanin","Peptide","Rat","P10683","ENSRNOG00000015156","","","","","244","GAL<sub>2</sub> receptor","Rat","O08726","ENSRNOG00000061733","","","","","galanin-like peptide &ge; galanin","10601261|","","Rat","pKi","8.3 - 9.3","9722565|9281594|9405385|9742938|9832122|15944002"
"3593","galanin","Peptide","Rat","P10683","ENSRNOG00000015156","","","","","244","GAL<sub>2</sub> receptor","Rat","O08726","ENSRNOG00000061733","","","","","galanin-like peptide &ge; galanin","10601261|","","Rat","pIC50","8.7 - 9.3","10601261|9427506|20880399"
"3593","galanin","Peptide","Rat","P10683","ENSRNOG00000015156","","","","","244","GAL<sub>2</sub> receptor","Rat","O08726","ENSRNOG00000061733","","","","","galanin-like peptide &ge; galanin","10601261|","","Rat","pEC50","8.3","10601261"
"3594","galanin-like peptide","Peptide","Human","Q9UBC7","ENSG00000197487","","","","","244","GAL<sub>2</sub> receptor","Human","O43603","ENSG00000182687","","","","","galanin-like peptide &ge; galanin","10601261|","","Human","pIC50","7.6 - 7.7","15944009|20880399"
"3595","galanin-like peptide","Peptide","Mouse","Q810H5","ENSMUSG00000034660","","","","","244","GAL<sub>2</sub> receptor","Mouse","O88854","ENSMUSG00000020793","","","","","galanin-like peptide &ge; galanin","10601261|","",,,"-",""
"3596","galanin-like peptide","Peptide","Rat","Q9QXQ6","ENSRNOG00000022129","","","","","244","GAL<sub>2</sub> receptor","Rat","O08726","ENSRNOG00000061733","","","","","galanin-like peptide &ge; galanin","10601261|","",,,"-",""
"11417","spexin-1","Peptide","Human","Q9BT56","ENSG00000134548","","","","","244","GAL<sub>2</sub> receptor","Human","O43603","ENSG00000182687","","","","","galanin-like peptide &ge; galanin","10601261|","","Human","pEC50","6.8","24517231"
"3592","galanin","Peptide","Human","P22466","ENSG00000069482","","","","","245","GAL<sub>3</sub> receptor","Human","O60755","ENSG00000128310","","","","","galanin-like peptide > galanin","15944009|","Galanin-like peptide is more potent than galanin","Human","pKi","7.2","9722565|9880084"
"3592","galanin","Peptide","Human","P22466","ENSG00000069482","","","","","245","GAL<sub>3</sub> receptor","Human","O60755","ENSG00000128310","","","","","galanin-like peptide > galanin","15944009|","Galanin-like peptide is more potent than galanin","Human","pIC50","7.1","9832121"
"3593","galanin","Peptide","Mouse","P47212","ENSMUSG00000024907","","","","","245","GAL<sub>3</sub> receptor","Mouse","O88853","ENSMUSG00000114755","","","","","galanin-like peptide > galanin","15944009|","Galanin-like peptide is more potent than galanin",,,"-",""
"3593","galanin","Peptide","Rat","P10683","ENSRNOG00000015156","","","","","245","GAL<sub>3</sub> receptor","Rat","O88626","ENSRNOG00000027060","","","","","galanin-like peptide > galanin","15944009|","Galanin-like peptide is more potent than galanin","Rat","pKi","8.1 - 8.8","9722565|9405385|9742938|15944002"
"3593","galanin","Peptide","Rat","P10683","ENSRNOG00000015156","","","","","245","GAL<sub>3</sub> receptor","Rat","O88626","ENSRNOG00000027060","","","","","galanin-like peptide > galanin","15944009|","Galanin-like peptide is more potent than galanin","Rat","pIC50","7.0","20880399"
"3594","galanin-like peptide","Peptide","Human","Q9UBC7","ENSG00000197487","","","","","245","GAL<sub>3</sub> receptor","Human","O60755","ENSG00000128310","","","","","galanin-like peptide > galanin","15944009|","Galanin-like peptide is more potent than galanin","Human","pIC50","8.0","15944009"
"3595","galanin-like peptide","Peptide","Mouse","Q810H5","ENSMUSG00000034660","","","","","245","GAL<sub>3</sub> receptor","Mouse","O88853","ENSMUSG00000114755","","","","","galanin-like peptide > galanin","15944009|","Galanin-like peptide is more potent than galanin",,,"-",""
"3596","galanin-like peptide","Peptide","Rat","Q9QXQ6","ENSRNOG00000022129","","","","","245","GAL<sub>3</sub> receptor","Rat","O88626","ENSRNOG00000027060","","","","","galanin-like peptide > galanin","15944009|","Galanin-like peptide is more potent than galanin","Rat","pIC50","8.8","20880399"
"11417","spexin-1","Peptide","Human","Q9BT56","ENSG00000134548","","","","","245","GAL<sub>3</sub> receptor","Human","O60755","ENSG00000128310","","","","","galanin-like peptide > galanin","15944009|","Galanin-like peptide is more potent than galanin","Human","pEC50","6.2","24517231"
"1099","ghrelin","Peptide","Human","Q9UBU3","ENSG00000157017","","","","","246","ghrelin receptor","Human","Q92847","ENSG00000121853","","","","","ghrelin = [des-Gln<sup>14</sup>]ghrelin","12969753|11549267|","The major circulating form of ghrelin is [des-octanoyl]ghrelin (human)/[des-octanoyl]ghrelin (mouse/rat). ","Human","pKi","7.8 - 8.1","11314756"
"1099","ghrelin","Peptide","Human","Q9UBU3","ENSG00000157017","","","","","246","ghrelin receptor","Human","Q92847","ENSG00000121853","","","","","ghrelin = [des-Gln<sup>14</sup>]ghrelin","12969753|11549267|","The major circulating form of ghrelin is [des-octanoyl]ghrelin (human)/[des-octanoyl]ghrelin (mouse/rat). ","Human","pKd","8.6 - 9.4","12907757|15905359"
"1099","ghrelin","Peptide","Human","Q9UBU3","ENSG00000157017","","","","","246","ghrelin receptor","Human","Q92847","ENSG00000121853","","","","","ghrelin = [des-Gln<sup>14</sup>]ghrelin","12969753|11549267|","The major circulating form of ghrelin is [des-octanoyl]ghrelin (human)/[des-octanoyl]ghrelin (mouse/rat). ","Human","pEC50","9.5","12907757|21402696"
"1099","ghrelin","Peptide","Human","Q9UBU3","ENSG00000157017","","","","","246","ghrelin receptor","Human","Q92847","ENSG00000121853","","","","","ghrelin = [des-Gln<sup>14</sup>]ghrelin","12969753|11549267|","The major circulating form of ghrelin is [des-octanoyl]ghrelin (human)/[des-octanoyl]ghrelin (mouse/rat). ","Human","pEC50","7.2 - 7.5","15905359|10628755"
"1099","ghrelin","Peptide","Human","Q9UBU3","ENSG00000157017","","","","","246","ghrelin receptor","Human","Q92847","ENSG00000121853","","","","","ghrelin = [des-Gln<sup>14</sup>]ghrelin","12969753|11549267|","The major circulating form of ghrelin is [des-octanoyl]ghrelin (human)/[des-octanoyl]ghrelin (mouse/rat). ","Human","pEC50","8.1","29233536"
"3597","ghrelin","Peptide","Mouse","Q9EQX0","ENSMUSG00000064177","","","","","246","ghrelin receptor","Mouse","Q99P50","ENSMUSG00000051136","","","","","ghrelin = [des-Gln<sup>14</sup>]ghrelin","12969753|11549267|","The major circulating form of ghrelin is [des-octanoyl]ghrelin (human)/[des-octanoyl]ghrelin (mouse/rat). ",,,"-",""
"3597","ghrelin","Peptide","Rat","Q9QYH7","ENSRNOG00000010349","","","","","246","ghrelin receptor","Rat","O08725","ENSRNOG00000024119","","","","","ghrelin = [des-Gln<sup>14</sup>]ghrelin","12969753|11549267|","The major circulating form of ghrelin is [des-octanoyl]ghrelin (human)/[des-octanoyl]ghrelin (mouse/rat). ",,,"-",""
"3600","[des-Gln<sup>14</sup>]ghrelin","Peptide","Human","Q9UBU3","ENSG00000157017","","","","","246","ghrelin receptor","Human","Q92847","ENSG00000121853","","","","","ghrelin = [des-Gln<sup>14</sup>]ghrelin","12969753|11549267|","The major circulating form of ghrelin is [des-octanoyl]ghrelin (human)/[des-octanoyl]ghrelin (mouse/rat). ",,,"-",""
"3601","[des-Gln<sup>14</sup>]ghrelin","Peptide","Mouse","Q9EQX0","ENSMUSG00000064177","","","","","246","ghrelin receptor","Mouse","Q99P50","ENSMUSG00000051136","","","","","ghrelin = [des-Gln<sup>14</sup>]ghrelin","12969753|11549267|","The major circulating form of ghrelin is [des-octanoyl]ghrelin (human)/[des-octanoyl]ghrelin (mouse/rat). ",,,"-",""
"3601","[des-Gln<sup>14</sup>]ghrelin","Peptide","Rat","Q9QYH7","ENSRNOG00000010349","","","","","246","ghrelin receptor","Rat","O08725","ENSRNOG00000024119","","","","","ghrelin = [des-Gln<sup>14</sup>]ghrelin","12969753|11549267|","The major circulating form of ghrelin is [des-octanoyl]ghrelin (human)/[des-octanoyl]ghrelin (mouse/rat). ",,,"-",""
"2270","GHRH","Peptide","Human","P01286","ENSG00000118702","","","","","247","GHRH receptor","Human","Q02643","ENSG00000106128","","","","","","","","Human","-","-",""
"3602","GHRH","Peptide","Mouse","P16043","ENSMUSG00000027643","","","","","247","GHRH receptor","Mouse","P32082","ENSMUSG00000004654","","","","","","","",,,"-",""
"3603","GHRH","Peptide","Rat","P09916","ENSRNOG00000007782","","","","","247","GHRH receptor","Rat","Q02644","ENSRNOG00000011808","","","","","","","",,,"-",""
"1126","gastric inhibitory polypeptide","Peptide","Rat","Q06145","ENSRNOG00000006306","","","","","248","GIP receptor","Rat","P43219","ENSRNOG00000015860","","","","","","","","Rat","pKd","8.6","8795084"
"3542","gastric inhibitory polypeptide","Peptide","Human","P09681","ENSG00000159224","","","","","248","GIP receptor","Human","P48546","ENSG00000010310","","","","","","","","Human","pKd","8.7","7589426"
"3542","gastric inhibitory polypeptide","Peptide","Human","P09681","ENSG00000159224","","","","","248","GIP receptor","Human","P48546","ENSG00000010310","","","","","","","","Human","pKi","9.1","26572091"
"3543","gastric inhibitory polypeptide","Peptide","Mouse","P48756","ENSMUSG00000014351","","","","","248","GIP receptor","Mouse","Q0P543","ENSMUSG00000030406","","","","","","","",,,"-",""
"1132","glucagon-like peptide 1-(7-36) amide","Peptide","Human","P01275","ENSG00000115263","","","","","249","GLP-1 receptor","Human","P43220","ENSG00000112164","","","","","","","","Human","pKi","9.2","15528268"
"1132","glucagon-like peptide 1-(7-36) amide","Peptide","Mouse","P55095","ENSMUSG00000000394","","","","","249","GLP-1 receptor","Mouse","O35659","ENSMUSG00000024027","","","","","","","",,,"-",""
"1132","glucagon-like peptide 1-(7-36) amide","Peptide","Rat","P06883","","","","","","249","GLP-1 receptor","Rat","P32301","ENSRNOG00000001152","","","","","","","",,,"-",""
"1136","glucagon","Peptide","Human","P01275","ENSG00000115263","","","","","249","GLP-1 receptor","Human","P43220","ENSG00000112164","","","","","","","","Human","pKi","6.9 - 7.0","15528268"
"1136","glucagon","Peptide","Mouse","P55095","ENSMUSG00000000394","","","","","249","GLP-1 receptor","Mouse","O35659","ENSMUSG00000024027","","","","","","","",,,"-",""
"1136","glucagon","Peptide","Rat","P06883","","","","","","249","GLP-1 receptor","Rat","P32301","ENSRNOG00000001152","","","","","","","",,,"-",""
"3544","glucagon-like peptide 1-(7-37)","Peptide","Human","P01275","ENSG00000115263","","","","","249","GLP-1 receptor","Human","P43220","ENSG00000112164","","","","","","","","Human","-","-","8404634"
"3544","glucagon-like peptide 1-(7-37)","Peptide","Mouse","P55095","ENSMUSG00000000394","","","","","249","GLP-1 receptor","Mouse","O35659","ENSMUSG00000024027","","","","","","","",,,"-",""
"3544","glucagon-like peptide 1-(7-37)","Peptide","Rat","P06883","","","","","","249","GLP-1 receptor","Rat","P32301","ENSRNOG00000001152","","","","","","","",,,"-",""
"1140","glucagon-like peptide 2","Peptide","Human","P01275","ENSG00000115263","","","","","250","GLP-2 receptor","Human","O95838","ENSG00000065325","","","","","","","","Human","pIC50","8.5","11738243"
"1141","glucagon-like peptide 2","Peptide","Rat","P06883","ENSRNOG00000005498","","","","","250","GLP-2 receptor","Rat","Q9Z0W0","ENSRNOG00000003683","","","","","","","","Rat","pKi","10.2","9990065"
"1142","glucagon-like peptide 2-(2-33)","Peptide","Rat","","ENSRNOG00000005498","","","","","250","GLP-2 receptor","Rat","Q9Z0W0","ENSRNOG00000003683","","","","","","","","Rat","pKi","6.1","9990065"
"1143","glucagon-like peptide 2-(3-33)","Peptide","Human","P01275","ENSG00000115263","","","","","250","GLP-2 receptor","Human","O95838","ENSG00000065325","","","","","","","","Human","pIC50","7.4","11738243"
"1144","glucagon-like peptide 2-(3-33)","Peptide","Rat","P06883","ENSRNOG00000005498","","","","","250","GLP-2 receptor","Rat","Q9Z0W0","ENSRNOG00000003683","","","","","","","","Rat","pKi","6.6","9990065"
"3540","glucagon-like peptide 2","Peptide","Mouse","P55095","ENSMUSG00000000394","","","","","250","GLP-2 receptor","Mouse","Q5IXF8","ENSMUSG00000049928","","","","","","","",,,"-",""
"3541","glucagon-like peptide 2-(3-33)","Peptide","Mouse","P55095","ENSMUSG00000000394","","","","","250","GLP-2 receptor","Mouse","Q5IXF8","ENSMUSG00000049928","","","","","","","",,,"-",""
"1136","glucagon","Peptide","Human","P01275","ENSG00000115263","","","","","251","glucagon receptor","Human","P47871","ENSG00000215644","","","","","","","","Human","pEC50","9.0","4305077"
"1136","glucagon","Peptide","Mouse","P55095","ENSMUSG00000000394","","","","","251","glucagon receptor","Mouse","Q61606","ENSMUSG00000025127","","","","","","","",,,"-",""
"1136","glucagon","Peptide","Rat","P06883","","","","","","251","glucagon receptor","Rat","P30082","ENSRNOG00000036692","","","","","","","",,,"-",""
"1152","VIP","Peptide","Human","P01282","ENSG00000146469","","","","","252","secretin receptor","Human","P47872","ENSG00000080293","","","","","","","","Human","pIC50","5.4","1646711"
"1152","VIP","Peptide","Mouse","P32648","","","","","","252","secretin receptor","Mouse","Q5FWI2","ENSMUSG00000026387","","","","","","","",,,"-",""
"1152","VIP","Peptide","Rat","P01283","ENSRNOG00000018808","","","","","252","secretin receptor","Rat","P23811","ENSRNOG00000049766","","","","","","","","Rat","pIC50","6.2","9437714"
"2943","secretin","Peptide","Rat","P11384","ENSRNOG00000017873","","","","","252","secretin receptor","Rat","P23811","ENSRNOG00000049766","","","","","","","","Rat","pKi","8.0 - 9.0","10383421|9694908"
"3643","secretin","Peptide","Human","P09683","ENSG00000070031","","","","","252","secretin receptor","Human","P47872","ENSG00000080293","","","","","","","","Human","pEC50","9.7","7612008"
"3644","secretin","Peptide","Mouse","Q08535","ENSMUSG00000038580","","","","","252","secretin receptor","Mouse","Q5FWI2","ENSMUSG00000026387","","","","","","","",,,"-",""
"1157","FSH","Peptide","Human","","ENSG00000131808|ENSG00000135346","3731|3733","glycoprotein hormone common alpha subunit|FSH &beta; subunit","3731:P01215|3733:P01225","3731:ENSG00000135346|3733:ENSG00000131808","253","FSH receptor","Human","P23945","ENSG00000170820","","","","","FSH","","","Human","-","-",""
"4386","FSH","Peptide","Mouse","","ENSMUSG00000027120|ENSMUSG00000028298","4384|4377","FSH &beta; subunit|glycoprotein hormone common alpha subunit","4384:Q60687|4377:P01216","4384:ENSMUSG00000027120|4377:ENSMUSG00000028298","253","FSH receptor","Mouse","P35378","ENSMUSG00000032937","","","","","FSH","","",,,"-",""
"4387","FSH","Peptide","Rat","","ENSRNOG00000004898|ENSRNOG00000009269","4385|4378","FSH &beta; subunit|glycoprotein hormone common alpha subunit","4385:P18427|4378:P11962","4385:ENSRNOG00000004898|4378:ENSRNOG00000009269","253","FSH receptor","Rat","P20395","ENSRNOG00000016783","","","","","FSH","","",,,"-",""
"1159","LH","Peptide","Human","P01215|P01229","ENSG00000104826|ENSG00000135346","3732|3731","LH &beta; subunit|glycoprotein hormone common alpha subunit","3732:P01229|3731:P01215","3732:ENSG00000104826|3731:ENSG00000135346","254","LH receptor","Human","P22888","ENSG00000138039","","","","","LH, hCG","1922095|12727981|","","Human","pIC50","9.9 - 10.9","12727981|1922095"
"1160","hCG","Peptide","Human","","ENSG00000104827|ENSG00000135346","4396|3731","chorionic gonadotropin beta subunit|glycoprotein hormone common alpha subunit","4396:P01233|3731:P01215","4396:ENSG00000189052|3731:ENSG00000135346","254","LH receptor","Human","P22888","ENSG00000138039","","","","","LH, hCG","1922095|12727981|","","Human","pKd","9.9 - 11.8","12727981|1922095"
"4389","LH","Peptide","Mouse","O09108|P01216","ENSMUSG00000028298|ENSMUSG00000100916","4388|4377","LH &beta; subunit|glycoprotein hormone common alpha subunit","4388:O09108|4377:P01216","4388:ENSMUSG00000100916|4377:ENSMUSG00000028298","254","LH receptor","Mouse","P30730","ENSMUSG00000024107","","","","","LH, hCG","1922095|12727981|","",,,"-",""
"4391","LH","Peptide","Rat","P01230|P70516","ENSRNOG00000009269|ENSRNOG00000047040","4378|4390","glycoprotein hormone common alpha subunit|LH &beta; subunit","4378:P11962|4390:P01230","4378:ENSRNOG00000009269|4390:ENSRNOG00000047040","254","LH receptor","Rat","P16235","ENSRNOG00000016712","","","","","LH, hCG","1922095|12727981|","",,,"-",""
"3920","TSH","Peptide","Human","","ENSG00000134200|ENSG00000135346","3734|3731","TSH &beta; subunit|glycoprotein hormone common alpha subunit","3734:P01222|3731:P01215","3734:ENSG00000134200|3731:ENSG00000135346","255","TSH receptor","Human","P16473","ENSG00000165409","","","","","TSH","","","Human","-","-",""
"4393","TSH","Peptide","Mouse","","ENSMUSG00000027857|ENSMUSG00000028298","4377|4392","glycoprotein hormone common alpha subunit|TSH &beta; subunit","4377:P01216|4392:P12656","4377:ENSMUSG00000028298|4392:ENSMUSG00000027857","255","TSH receptor","Mouse","P47750","ENSMUSG00000020963","","","","","TSH","","",,,"-",""
"4395","TSH","Peptide","Rat","P04652|P70516","ENSRNOG00000009269|ENSRNOG00000016793","4378|4394","glycoprotein hormone common alpha subunit|TSH &beta; subunit","4378:P11962|4394:P04652","4378:ENSRNOG00000009269|4394:ENSRNOG00000016793","255","TSH receptor","Rat","P21463","ENSRNOG00000003972","","","","","TSH","","",,,"-",""
"1162","GnRH I","Peptide","Human","P01148","ENSG00000147437","","","","","256","GnRH<sub>1</sub> receptor","Human","P30968","ENSG00000109163","","","","","GnRH I > GnRH II","15082521|","GnRH I is the more potent agonist","Human","pKi","7.3 - 8.4","11726197|17095587"
"1162","GnRH I","Peptide","Human","P01148","ENSG00000147437","","","","","256","GnRH<sub>1</sub> receptor","Human","P30968","ENSG00000109163","","","","","GnRH I > GnRH II","15082521|","GnRH I is the more potent agonist","Human","pIC50","8.6","17452338"
"1162","GnRH I","Peptide","Human","P01148","ENSG00000147437","","","","","256","GnRH<sub>1</sub> receptor","Human","P30968","ENSG00000109163","","","","","GnRH I > GnRH II","15082521|","GnRH I is the more potent agonist","Human","pKd","7.7 - 8.5","26398856"
"1162","GnRH I","Peptide","Human","P01148","ENSG00000147437","","","","","256","GnRH<sub>1</sub> receptor","Human","P30968","ENSG00000109163","","","","","GnRH I > GnRH II","15082521|","GnRH I is the more potent agonist","Human","pKi","7.9 - 8.4","26398856"
"1162","GnRH I","Peptide","Human","P01148","ENSG00000147437","","","","","256","GnRH<sub>1</sub> receptor","Human","P30968","ENSG00000109163","","","","","GnRH I > GnRH II","15082521|","GnRH I is the more potent agonist","Human","pEC50","10.0","26774084"
"1162","GnRH I","Peptide","Mouse","P13562","","","","","","256","GnRH<sub>1</sub> receptor","Mouse","Q01776","ENSMUSG00000029255","","","","","GnRH I > GnRH II","15082521|","GnRH I is the more potent agonist","Mouse","pIC50","8.3","1328228"
"1162","GnRH I","Peptide","Mouse","P13562","","","","","","256","GnRH<sub>1</sub> receptor","Mouse","Q01776","ENSMUSG00000029255","","","","","GnRH I > GnRH II","15082521|","GnRH I is the more potent agonist","Mouse","pEC50","7.8 - 7.9","26774084"
"1162","GnRH I","Peptide","Rat","P07490","","","","","","256","GnRH<sub>1</sub> receptor","Rat","P30969","ENSRNOG00000002011","","","","","GnRH I > GnRH II","15082521|","GnRH I is the more potent agonist","Rat","pKi","6.8","11726197"
"1162","GnRH I","Peptide","Rat","P07490","","","","","","256","GnRH<sub>1</sub> receptor","Rat","P30969","ENSRNOG00000002011","","","","","GnRH I > GnRH II","15082521|","GnRH I is the more potent agonist","Rat","pIC50","7.7","8013367"
"1164","GnRH II","Peptide","Human","O43555","ENSG00000180290","","","","","256","GnRH<sub>1</sub> receptor","Human","P30968","ENSG00000109163","","","","","GnRH I > GnRH II","15082521|","GnRH I is the more potent agonist","Human","pIC50","7.1 - 7.9","17452338|17942747|19638591"
"1162","GnRH I","Peptide","Human","P01148","ENSG00000147437","","","","","257","GnRH<sub>2</sub> receptor","Human","Q96P88","ENSG00000211451","","","","","GnRH II > GnRH I","11493674|","Probable transcribed pseudogene in man [...]. Natural/endogenous ligands refer to non-human mammalian species.",,,"-",""
"1162","GnRH I","Peptide","Mouse","P13562","","","","","","257","GnRH<sub>2</sub> receptor","Mouse","","","","","","","GnRH II > GnRH I","11493674|","Probable transcribed pseudogene in man [...]. Natural/endogenous ligands refer to non-human mammalian species.",,,"-",""
"1162","GnRH I","Peptide","Rat","P07490","","","","","","257","GnRH<sub>2</sub> receptor","Rat","","","","","","","GnRH II > GnRH I","11493674|","Probable transcribed pseudogene in man [...]. Natural/endogenous ligands refer to non-human mammalian species.",,,"-",""
"1164","GnRH II","Peptide","Human","O43555","ENSG00000180290","","","","","257","GnRH<sub>2</sub> receptor","Human","Q96P88","ENSG00000211451","","","","","GnRH II > GnRH I","11493674|","Probable transcribed pseudogene in man [...]. Natural/endogenous ligands refer to non-human mammalian species.",,,"-",""
"1204","histamine","Metabolite","","","","","","","","262","H<sub>1</sub> receptor","Human","P35367","ENSG00000196639","","","","","","","","Human","pKi","4.7 - 5.9","7925364|12065734|16394198|12626648|15206929"
"1204","histamine","Metabolite","","","","","","","","263","H<sub>2</sub> receptor","Rat","P25102","ENSRNOG00000018260","","","","","","","","Rat","pKi","3.8","9384502"
"1204","histamine","Metabolite","","","","","","","","264","H<sub>3</sub> receptor","Human","Q9Y5N1","ENSG00000101180","","","","","","","","Human","pKi","7.8 - 8.3","10869375|11284713|11090094|12393057|11179434|14640553"
"1204","histamine","Metabolite","","","","","","","","264","H<sub>3</sub> receptor","Mouse","P58406","ENSMUSG00000039059","","","","","","","","Mouse","pKi","7.1 - 7.8","12706455|15341517"
"1204","histamine","Metabolite","","","","","","","","264","H<sub>3</sub> receptor","Rat","Q9QYN8","ENSRNOG00000061153","","","","","","","","Rat","pKi","7.2 - 7.9","10869375|11162480|11090094"
"1204","histamine","Metabolite","","","","","","","","265","H<sub>4</sub> receptor","Human","Q9H3N8","ENSG00000134489","","","","","","","","Human","pKi","7.8 - 8.3","11179434|11561071|11181941|11179436|15947036|16432504|15454206"
"1204","histamine","Metabolite","","","","","","","","265","H<sub>4</sub> receptor","Mouse","Q91ZY2","ENSMUSG00000037346","","","","","","","","Mouse","pKi","7.4","11561071"
"1204","histamine","Metabolite","","","","","","","","265","H<sub>4</sub> receptor","Rat","Q91ZY1","ENSRNOG00000016887","","","","","","","","Rat","pKi","7.2","11561071"
"1272","CCL16","Peptide","Human","O15467","ENSG00000161573","","","","","265","H<sub>4</sub> receptor","Human","Q9H3N8","ENSG00000134489","","","","","","","","Human","pIC50","8.1","15265943"
"1283","kisspeptin-10","Peptide","Human","","ENSG00000170498","","","","","266","kisspeptin receptor","Human","Q969F8","ENSG00000116014","","","","","","","","Human","pKi","8.6 - 10.4","11385580|11457843"
"1284","kisspeptin-13","Peptide","Human","Q15726","ENSG00000170498","","","","","266","kisspeptin receptor","Human","Q969F8","ENSG00000116014","","","","","","","","Human","pKi","8.4","11457843"
"1285","kisspeptin-14","Peptide","Human","Q15726","ENSG00000170498","","","","","266","kisspeptin receptor","Human","Q969F8","ENSG00000116014","","","","","","","","Human","pKi","8.8","11457843"
"1288","kisspeptin-54","Peptide","Human","Q15726","ENSG00000170498","","","","","266","kisspeptin receptor","Human","Q969F8","ENSG00000116014","","","","","","","","Human","pKi","8.8 - 9.5","11385580|11457843"
